Description,Incident#,Location,Agency,Date
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909030066519,1400 BLOCK NW 56TH ST,Miami Police,9-3-2019 5:27 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909030066519,3300 BLOCK NE 1ST AV,Miami Police,9-3-2019 5:27 PM
THEFT - OF MOTOR VEHICLE PARTS,1909030066517,3200 BLOCK NW 22 AVE,Miami Police,9-3-2019 5:26 PM
CRIMINAL MISCHIEF / VANDALISM,1909030066523,1500 BLOCK NW 68TH TER,Miami Police,9-3-2019 5:16 PM
BATTERY / SIMPLE,1909030066500,1500 BLOCK NW 1ST ST,Miami Police,9-3-2019 4:12 PM
BATTERY / SIMPLE,1909030066491,NW 19TH AV / W FLAGLER ST,Miami Police,9-3-2019 3:38 PM
THEFT - FROM MOTOR VEHICLE,1909030066486,1700 BLOCK DELAWARE PKWY,Miami Police,9-3-2019 3:17 PM
AUTO THEFT,1909030066492,3600 BLOCK SW 22ND ST,Miami Police,9-3-2019 3:13 PM
THEFT OF BICYCLE,19006176,100 BLOCK GIRALDA AV,Coral Gables Police,9-3-2019 3:03 PM
THEFT OF BICYCLE,19006176,100 BLOCK GIRALDA AV,Coral Gables Police,9-3-2019 3:03 PM
THEFT/LARCENY,PD190904316840,8300 BLOCK NW 27TH AVE,Miami-Dade Police,9-3-2019 3:00 PM
GRAND THEFT,1909030066476,NW 2ND AV / NW 26TH ST,Miami Police,9-3-2019 2:58 PM
VEHICLE BREAK-IN/THEFT,PD190903316164,3800 BLOCK NW 32ND AVE,Miami-Dade Police,9-3-2019 2:57 PM
PETIT THEFT,1909030066478,200 BLOCK SW 8TH ST,Miami Police,9-3-2019 2:56 PM
POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,1909030066473,2700 BLOCK NW SOUTH RIVER DR,Miami Police,9-3-2019 2:51 PM
THEFT/LARCENY,PD190903316160,800 BLOCK NW 79TH ST,Miami-Dade Police,9-3-2019 2:40 PM
THEFT/LARCENY,PD190903316143,3000 BLOCK NW 54TH ST,Miami-Dade Police,9-3-2019 2:32 PM
RETAIL THEFT,1909030066495,3300 BLOCK NW 17TH AV,Miami Police,9-3-2019 2:26 PM
SIMPLE BATTERY,1909030066479,200 BLOCK SW 8TH ST,Miami Police,9-3-2019 2:22 PM
CRIMINAL MISCHIEF / VANDALISM,1909030066484,1200 BLOCK NW 42ND AV,Miami Police,9-3-2019 2:16 PM
"ORGANIZED FRAUD: ENGAGES IN SCHEME - OBTAINS PROPERTY/VALUE $50,000 OR MORE",1909030066463,400 BLOCK NW 2ND AVE,Miami Police,9-3-2019 2:13 PM
CRIMINAL MISCHIEF / VANDALISM,1909030066467,1900 BLOCK SW 3RD ST,Miami Police,9-3-2019 2:10 PM
SIMPLE ASSAULT,1909030066461,0 BLOCK GLENN ROYAL PKWY,Miami Police,9-3-2019 2:07 PM
BATTERY / SIMPLE,1909030066469,0 BLOCK NW 33RD AVE,Miami Police,9-3-2019 2:00 PM
SIMPLE ASSAULT,1909030066454,0 BLOCK NE 24TH ST,Miami Police,9-3-2019 1:41 PM
CRIMINAL MISCHIEF ($200 OR LESS),1909030066458,400 BLOCK NE 25TH ST,Miami Police,9-3-2019 1:26 PM
SIMPLE BATTERY,19006175,800 BLOCK MADRID ST,Coral Gables Police,9-3-2019 12:50 PM
GRAND THEFT,1909030066456,1400 BLOCK NW 17TH AV,Miami Police,9-3-2019 12:39 PM
THEFT - ALL OTHER,1909030066440,200 BLOCK NE 3RD ST,Miami Police,9-3-2019 12:30 PM
AGGRAVATED BATTERY,1909030066436,5500 BLOCK NW 1ST CT,Miami Police,9-3-2019 12:23 PM
AGGRAVATED BATTERY,1909030066436,5500 BLOCK NW 1ST CT,Miami Police,9-3-2019 12:23 PM
BURGLARY - RESIDENCE,1909030066441,1200 BLOCK SW 1ST ST,Miami Police,9-3-2019 12:23 PM
PETIT THEFT,1909030066439,6800 BLOCK NW 4TH CT,Miami Police,9-3-2019 12:13 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066433,1400 BLOCK NW 44TH ST,Miami Police,9-3-2019 12:12 PM
VANDALISM,PD190903315844,1800 BLOCK NW 69TH ST,Miami-Dade Police,9-3-2019 12:05 PM
THEFT - PICK POCKET,1909050066932,200 BLOCK NW 23RD ST,Miami Police,9-3-2019 12:04 PM
VANDALISM,PD190903315865,8400 BLOCK NW 14TH AVE,Miami-Dade Police,9-3-2019 12:00 PM
CRIMINAL MISCHIEF / VANDALISM,1909030066420,500 BLOCK NW 7TH ST,Miami Police,9-3-2019 11:22 AM
PETIT THEFT - RETAIL / $100 TO LESS THAN $300,1909030066430,6900 BLOCK SW 8TH ST,Miami Police,9-3-2019 11:22 AM
PETIT THEFT,1909030066416,1500 BLOCK NW 34TH ST,Miami Police,9-3-2019 11:21 AM
RETAIL THEFT,1909030066427,900 BLOCK SW 8TH ST,Miami Police,9-3-2019 11:18 AM
THEFT - ALL OTHER,1909030066431,3000 BLOCK NW 17TH AV,Miami Police,9-3-2019 11:15 AM
CRIMINAL MISCHIEF / VANDALISM,1909030066426,800 BLOCK NW 45TH AV,Miami Police,9-3-2019 11:10 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066415,1300 BLOCK SW 1ST ST,Miami Police,9-3-2019 10:57 AM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1909030066421,5500 BLOCK N MIAMI AV,Miami Police,9-3-2019 10:49 AM
CRIMINAL MISCHIEF / VANDALISM,1909030066410,900 BLOCK SW 5TH ST,Miami Police,9-3-2019 10:41 AM
THEFT OF BICYCLE,1909030066413,200 BLOCK SW 11TH ST,Miami Police,9-3-2019 10:32 AM
BURGLARY NON-RESIDENTIAL,19006173,100 BLOCK GIRALDA AV,Coral Gables Police,9-3-2019 10:30 AM
THEFT - ALL OTHER,1909030066409,1500 BLOCK NW 7TH AV,Miami Police,9-3-2019 10:29 AM
THEFT/LARCENY,PD190904316970,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-3-2019 10:00 AM
THEFT - OF MOTOR VEHICLE PARTS,1909030066404,100 BLOCK SE 2ND ST,Miami Police,9-3-2019 9:55 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066408,NE 1ST AV / NE 16TH ST,Miami Police,9-3-2019 9:48 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066408,NE 1ST AV / NE 16TH ST,Miami Police,9-3-2019 9:48 AM
CRIMINAL MISCHIEF / VANDALISM,1909030066395,400 BLOCK NW 4TH ST,Miami Police,9-3-2019 9:46 AM
CRIMINAL MISCHIEF / VANDALISM,1909030066395,400 BLOCK NW 4TH ST,Miami Police,9-3-2019 9:46 AM
ASSAULT,PD190903315655,7300 BLOCK NW 23RD CT,Miami-Dade Police,9-3-2019 9:36 AM
THEFT - OF MOTOR VEHICLE PARTS,1909030066391,800 BLOCK NW 30TH CT,Miami Police,9-3-2019 9:34 AM
ASSAULT,PD190903315647,2500 BLOCK NW 55TH ST,Miami-Dade Police,9-3-2019 9:27 AM
THEFT - OF MOTOR VEHICLE PARTS,1909030066393,1500 BLOCK NW 31ST AV,Miami Police,9-3-2019 9:17 AM
BURGLARY - OTHER STRUCTURE,1909030066390,1300 BLOCK NW 29TH ST,Miami Police,9-3-2019 9:07 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909030066388,700 BLOCK NE 61ST ST,Miami Police,9-3-2019 8:58 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066386,400 BLOCK SW 51ST AV,Miami Police,9-3-2019 8:40 AM
THEFT - FROM MOTOR VEHICLE,1909030066385,1400 BLOCK W FLAGLER ST,Miami Police,9-3-2019 8:26 AM
THEFT - FROM MOTOR VEHICLE,1909030066385,1400 BLOCK W FLAGLER ST,Miami Police,9-3-2019 8:26 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066381,1100 BLOCK NW 56TH ST,Miami Police,9-3-2019 8:17 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066383,1500 BLOCK NW 19TH TER,Miami Police,9-3-2019 8:10 AM
RETAIL THEFT,1909030066382,2700 BLOCK W FLAGLER ST,Miami Police,9-3-2019 7:56 AM
AUTO THEFT,1909030066373,4500 BLOCK LAKE RD,Miami Police,9-3-2019 7:33 AM
THEFT - FROM MOTOR VEHICLE,1909030066370,4300 BLOCK NW 8TH TER,Miami Police,9-3-2019 7:31 AM
BURGLARY - OTHER STRUCTURE,1909030066369,2900 BLOCK NE 2ND AV,Miami Police,9-3-2019 7:13 AM
THEFT - FROM MOTOR VEHICLE,1909030066360,200 BLOCK NW 40TH AV,Miami Police,9-3-2019 5:53 AM
THEFT - FROM MOTOR VEHICLE,1909030066362,2700 BLOCK NW 15TH AV,Miami Police,9-3-2019 5:39 AM
BURGLARY / STRUCTURE - CAUSES DAMAGE IN EXCESS OF $1000.00,1909030066356,7000 BLOCK BISCAYNE BLVD,Miami Police,9-3-2019 5:06 AM
BURGLARY / STRUCTURE - CAUSES DAMAGE IN EXCESS OF $1000.00,1909030066356,7000 BLOCK BISCAYNE BLVD,Miami Police,9-3-2019 5:06 AM
RETAIL THEFT,1909030066351,1600 BLOCK NW 20TH ST,Miami Police,9-3-2019 4:39 AM
THEFT/LARCENY,PD190903316246,7600 BLOCK NW 17TH AVE,Miami-Dade Police,9-3-2019 3:00 AM
BURGLARY,PD190903315473,3100 BLOCK NW 82ND ST,Miami-Dade Police,9-3-2019 2:50 AM
CRIMINAL MISCHIEF / VANDALISM,1909030066349,0 BLOCK NE 54TH ST,Miami Police,9-3-2019 2:50 AM
ASSAULT,PD190903315433,NW 27TH AVE & NW 55TH ST,Miami-Dade Police,9-3-2019 1:00 AM
ROBBERY BY SUDDEN SNATCH - NO FORCE,1909030066341,4700 BLOCK NW 8TH AV,Miami Police,9-3-2019 12:19 AM
POSSESS/SELL CONT SUBST NAMED IN FS 893.03(1A:1B:1D:2A:2B) W/IN 1000' CONV STORE,1909030066339,SW 1ST AV / SW 1ST ST,Miami Police,9-3-2019 12:11 AM
VEHICLE BREAK-IN/THEFT,PD190909323142,JMH PARK PLAZA E,Miami-Dade Police,9-3-2019 12:00 AM
AGGRAVATED BATTERY,1909030066336,600 BLOCK NW 36TH ST,Miami Police,9-2-2019 11:50 PM
AGGRAVATED BATTERY,1909030066333,8000 BLOCK NE 1ST AVE,Miami Police,9-2-2019 11:31 PM
CRIMINAL MISCHIEF / VANDALISM,1909030066337,700 BLOCK NW 70TH ST,Miami Police,9-2-2019 11:18 PM
AUTO THEFT,1908250064204,BISCAYNE BLVD & NE 9 ST,Miami Police,9-2-2019 11:00 PM
MOTOR VEHICLE THEFT,PD190903315496,2900 BLOCK NW 48TH ST,Miami-Dade Police,9-2-2019 11:00 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909020066328,3600 BLOCK W FLAGLER ST,Miami Police,9-2-2019 10:51 PM
CRIMINAL MISCHIEF / VANDALISM,1909020066323,6300 BLOCK NW 1ST CT,Miami Police,9-2-2019 10:41 PM
CRIMINAL MISCHIEF / VANDALISM,1909020066323,6300 BLOCK NW 1ST CT,Miami Police,9-2-2019 10:41 PM
PETIT THEFT - UNSPECIFIED / $100 TO LESS THAN $300,1909020066320,2100 BLOCK NW 17TH AV,Miami Police,9-2-2019 10:25 PM
THEFT - ALL OTHER,1909020066313,800 BLOCK BISCAYNE BLVD,Miami Police,9-2-2019 9:23 PM
THEFT/LARCENY,PD190902315273,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-2-2019 9:18 PM
BATTERY / SIMPLE,1909020066309,2600 BLOCK SW 12TH ST,Miami Police,9-2-2019 8:42 PM
CRIMINAL MISCHIEF / VANDALISM,1909020066317,4300 BLOCK NW 11TH CT,Miami Police,9-2-2019 8:18 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909020066305,NW 13TH AV / NW 45TH ST,Miami Police,9-2-2019 8:16 PM
ASSAULT,PD190902315205,SW 22ND ST & SW 58TH AVE,Miami-Dade Police,9-2-2019 8:03 PM
THEFT - ALL OTHER,1909020066302,BISCAYNE BLVD / NE 17TH TER,Miami Police,9-2-2019 7:52 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909020066307,600 BLOCK NW 57TH AV,Miami Police,9-2-2019 7:49 PM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1909020066304,2900 BLOCK NW 7TH ST,Miami Police,9-2-2019 7:45 PM
THEFT - FROM MOTOR VEHICLE,1909020066294,1000 BLOCK NW 33RD AV,Miami Police,9-2-2019 7:03 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909020066297,1000 BLOCK NW 51ST ST,Miami Police,9-2-2019 6:55 PM
THEFT - ALL OTHER,1909020066297,1000 BLOCK NW 51ST ST,Miami Police,9-2-2019 6:55 PM
THEFT - FROM MOTOR VEHICLE,1909020066289,NE 1ST AV / NE 16TH ST,Miami Police,9-2-2019 6:20 PM
THEFT - ALL OTHER,1909030066376,6900 BLOCK SW 8TH ST,Miami Police,9-2-2019 6:10 PM
THEFT - FROM MOTOR VEHICLE,1909020066286,BISCAYNE BLVD / NE 64TH ST,Miami Police,9-2-2019 6:04 PM
THEFT - ALL OTHER,1909020066281,8400 BLOCK BISCAYNE BLVD,Miami Police,9-2-2019 5:55 PM
BATTERY / SIMPLE,1909020066288,BISCAYNE BLVD / NE 36TH ST,Miami Police,9-2-2019 5:46 PM
THEFT - FROM MOTOR VEHICLE,1909020066278,NW 14TH AV / NW 15TH ST,Miami Police,9-2-2019 5:27 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909020066274,0 BLOCK NW 68TH ST,Miami Police,9-2-2019 5:08 PM
PETIT THEFT - RETAIL / LESS THAN $100,1909020066269,2300 BLOCK NW 2ND AV,Miami Police,9-2-2019 5:03 PM
CRIMINAL MISCHIEF / VANDALISM,1909020066272,400 BLOCK NW 4TH ST,Miami Police,9-2-2019 4:37 PM
AGGRAVATED BATTERY,1909020066271,1700 BLOCK NW 36TH AV,Miami Police,9-2-2019 4:21 PM
ASSAULT / SIMPLE,1909020066266,1600 BLOCK NW 7TH AV,Miami Police,9-2-2019 4:11 PM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1909020066267,3400 BLOCK NW 16TH TER,Miami Police,9-2-2019 4:02 PM
THEFT/LARCENY,PD190902315015,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-2-2019 4:00 PM
THEFT/LARCENY,PD190902315110,JMH MAIN,Miami-Dade Police,9-2-2019 4:00 PM
THEFT - OF MOTOR VEHICLE PARTS,1909020066258,6800 BLOCK NW 4TH CT,Miami Police,9-2-2019 3:51 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),1909020066252,400 BLOCK BISCAYNE BLVD,Miami Police,9-2-2019 3:26 PM
GRAND THEFT,1909020066263,500 BLOCK NE 31ST ST,Miami Police,9-2-2019 3:14 PM
RETAIL THEFT,1909020066253,400 BLOCK SW 8TH ST,Miami Police,9-2-2019 3:04 PM
FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1909020066247,3000 BLOCK NW 11TH TER,Miami Police,9-2-2019 2:56 PM
ASSAULT,PD190902314941,6800 BLOCK NW 18TH AVE,Miami-Dade Police,9-2-2019 2:49 PM
THEFT/LARCENY,PD190903315989,3100 BLOCK NW 53RD ST,Miami-Dade Police,9-2-2019 2:00 PM
CRIMINAL MISCHIEF / VANDALISM,1909020066243,5800 BLOCK NW 17TH AV,Miami Police,9-2-2019 1:58 PM
PETIT THEFT - RETAIL / LESS THAN $100,1909020066237,4200 BLOCK W FLAGLER ST,Miami Police,9-2-2019 1:57 PM
SIMPLE ASSAULT / THREATS,19006157,00 BLOCK OVIEDO AV,Coral Gables Police,9-2-2019 1:35 PM
BATTERY / SIMPLE,1909020066233,100 BLOCK NE 75TH ST,Miami Police,9-2-2019 1:19 PM
AUTO THEFT,1909020066235,8400 BLOCK NE MIAMI CT,Miami Police,9-2-2019 1:06 PM
THEFT/LARCENY,PD190902315059,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-2-2019 1:00 PM
VEHICLE BREAK-IN/THEFT,PD190906319917,2900 BLOCK NW 46TH ST,Miami-Dade Police,9-2-2019 1:00 PM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1909020066229,SW 17TH CT / SW 1ST ST,Miami Police,9-2-2019 12:52 PM
CRIMINAL MISCHIEF / VANDALISM,1909020066226,600 BLOCK NW 6TH ST,Miami Police,9-2-2019 12:47 PM
BURGLARY - RESIDENCE,1909020066227,2000 BLOCK SW 20TH ST,Miami Police,9-2-2019 12:38 PM
THEFT/LARCENY,PD190902314812,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-2-2019 12:15 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909020066219,3700 BLOCK NW 2ND ST,Miami Police,9-2-2019 11:52 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909020066225,600 BLOCK NW 6TH ST,Miami Police,9-2-2019 11:47 AM
FRAUD,PD190902314784,3300 BLOCK NW 32ND AVE,Miami-Dade Police,9-2-2019 11:40 AM
THEFT - FROM MOTOR VEHICLE,1909020066213,500 BLOCK NW 32ND PL,Miami Police,9-2-2019 11:31 AM
PETIT THEFT - RETAIL / LESS THAN $100,1909020066212,8000 BLOCK NE 5TH AV,Miami Police,9-2-2019 11:20 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909020066209,6200 BLOCK SW 8TH ST,Miami Police,9-2-2019 11:02 AM
THEFT FROM COIN OPERATED MACHINE,19006153,200 BLOCK SIDONIA AV,Coral Gables Police,9-2-2019 11:00 AM
THEFT/LARCENY,PD190902314717,5800 BLOCK NW 22ND AVE,Miami-Dade Police,9-2-2019 10:35 AM
FRAUD,PD190902314704,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-2-2019 10:28 AM
THEFT - ALL OTHER,1909020066201,1700 BLOCK N BAYSHORE DR,Miami Police,9-2-2019 10:13 AM
CRIMINAL MISCHIEF / VANDALISM,1909020066202,1600 BLOCK BISCAYNE BLVD,Miami Police,9-2-2019 10:10 AM
CRIMINAL MISCHIEF ($200 OR LESS),1909020066199,800 BLOCK NW 2ND AV,Miami Police,9-2-2019 10:02 AM
THEFT - OF MOTOR VEHICLE PARTS,1909020066203,400 BLOCK NW 5TH ST,Miami Police,9-2-2019 9:51 AM
BATTERY / DOMESTIC,1909020066198,2500 BLOCK BISCAYNE BLVD,Miami Police,9-2-2019 9:45 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909020066191,1700 BLOCK NW 51ST TER,Miami Police,9-2-2019 9:45 AM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1909020066193,0 BLOCK NW 26TH AV,Miami Police,9-2-2019 9:13 AM
CRIMINAL MISCHIEF / VANDALISM,1909020066188,400 BLOCK NW 71ST ST,Miami Police,9-2-2019 8:44 AM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1909020066187,1000 BLOCK NW 2ND ST,Miami Police,9-2-2019 8:09 AM
CRIMINAL MISCHIEF (OVER $200 LESS THAN $1000),1909020066192,100 BLOCK NE 49TH ST,Miami Police,9-2-2019 8:06 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909020066191,1700 BLOCK NW 51ST TER,Miami Police,9-2-2019 7:54 AM
VANDALISM,PD190902314622,7300 BLOCK NW 23RD AVE,Miami-Dade Police,9-2-2019 7:46 AM
CRIMINAL MISCHIEF / VANDALISM,1909020066181,0 BLOCK NW 19TH AV,Miami Police,9-2-2019 7:42 AM
THEFT - OF MOTOR VEHICLE PARTS,1909020066180,3400 BLOCK NW 18TH AV,Miami Police,9-2-2019 7:22 AM
ASSAULT,PD190902314670,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-2-2019 6:00 AM
ASSAULT,PD190902314554,3600 BLOCK NW S RIVER DR,Miami-Dade Police,9-2-2019 5:40 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909020066165,6700 BLOCK NW 2ND AV,Miami Police,9-2-2019 4:50 AM
CRIMINAL MISCHIEF / VANDALISM,1909020066161,6700 BLOCK NW 2ND AV,Miami Police,9-2-2019 4:29 AM
ROBBERY - STRONG ARM,1909020066166,SW 21ST AV / SW 8TH ST,Miami Police,9-2-2019 3:53 AM
ROBBERY - STRONG ARM,1909020066166,SW 21ST AV / SW 8TH ST,Miami Police,9-2-2019 3:53 AM
AGGRAVATED ASSAULT,1909020066151,100 BLOCK NW 27TH ST,Miami Police,9-2-2019 3:01 AM
POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,1909020066149,N MIAMI AV / NE 61ST ST,Miami Police,9-2-2019 2:55 AM
ASSAULT,PD190902314484,7100 BLOCK NW 14TH AVE,Miami-Dade Police,9-2-2019 2:45 AM
VEHICLE BREAK-IN/THEFT,PD190902314663,1300 BLOCK NW 75TH ST,Miami-Dade Police,9-2-2019 2:30 AM
CRIMINAL MISCHIEF (OVER $200 LESS THAN $1000),1909020066150,1200 BLOCK NW 6TH ST,Miami Police,9-2-2019 2:22 AM
HOMICIDE,PD190902314468,7700 BLOCK NW 8TH CT,Miami-Dade Police,9-2-2019 2:00 AM
SIMPLE BATTERY,1909020066143,NW 2ND AV / NW 28TH ST,Miami Police,9-2-2019 1:58 AM
BATTERY / SIMPLE,1909020066145,200 BLOCK NW 23RD ST,Miami Police,9-2-2019 1:26 AM
ASSAULT / AGG / WITH AN INTENT TO COMMIT A FELONY,1909020066139,200 BLOCK NW 8TH AV,Miami Police,9-2-2019 1:18 AM
GRAND THEFT - FROM MOTOR VEHICLE - $300 TO LESS THAN $5000,1909020066141,3100 BLOCK BISCAYNE BLVD,Miami Police,9-2-2019 1:03 AM
THEFT/LARCENY,PD190902314612,3000 BLOCK NW 28TH ST,Miami-Dade Police,9-2-2019 12:00 AM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909020066129,2700 BLOCK W FLAGLER ST,Miami Police,9-1-2019 11:18 PM
ASSAULT,PD190901314313,1700 BLOCK NW 79TH ST,Miami-Dade Police,9-1-2019 11:17 PM
PETIT THEFT - RETAIL / LESS THAN $100,1909010066128,1500 BLOCK SW 22ND ST,Miami Police,9-1-2019 11:16 PM
RESISTING OFFICER W/ VIOLENCE TO HIS PERSON (SIMPLE ASSAULT),1909010066123,200 BLOCK NW 23RD ST,Miami Police,9-1-2019 11:05 PM
ASSAULT,PD190901314305,100 BLOCK NW 82ND ST,Miami-Dade Police,9-1-2019 11:04 PM
CRIMINAL MISCHIEF / VANDALISM,1909010066125,5900 BLOCK NW 6TH AV,Miami Police,9-1-2019 10:59 PM
THEFT - FROM MOTOR VEHICLE,1909010066118,SW 1ST AV / SW 8TH ST,Miami Police,9-1-2019 10:29 PM
SIMPLE BATTERY,1909010066121,1000 BLOCK NW 7TH CT,Miami Police,9-1-2019 10:15 PM
THEFT/LARCENY,PD190904317623,5200 BLOCK NW 29TH AVE,Miami-Dade Police,9-1-2019 10:00 PM
ASSAULT,PD190902314647,2100 BLOCK NW 66TH ST,Miami-Dade Police,9-1-2019 9:00 PM
MOTOR VEHICLE THEFT,PD190902314620,2400 BLOCK NW 66TH ST,Miami-Dade Police,9-1-2019 9:00 PM
ASSAULT,PD190901314209,1600 BLOCK NW 85TH ST,Miami-Dade Police,9-1-2019 8:53 PM
ROBBERY,PD190901314200,7000 BLOCK SW 22ND ST,Miami-Dade Police,9-1-2019 8:39 PM
AGGRAVATED BATTERY,1909010066101,7800 BLOCK DUNHAM BLVD,Miami Police,9-1-2019 8:36 PM
AGGRAVATED BATTERY,1909010066093,0 BLOCK SW 9TH ST,Miami Police,9-1-2019 8:12 PM
MOTOR VEHICLE THEFT,PD190902315019,3900 BLOCK NW 21ST ST,Miami-Dade Police,9-1-2019 8:00 PM
THEFT/LARCENY,PD190901314122,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-1-2019 7:23 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909010066058,1200 BLOCK NW 6TH ST,Miami Police,9-1-2019 7:00 PM
ASSAULT,PD190901314091,800 BLOCK NW 79TH ST,Miami-Dade Police,9-1-2019 6:54 PM
SIMPLE BATTERY,1909010066084,0 BLOCK NE 71ST ST,Miami Police,9-1-2019 6:29 PM
THEFT - ALL OTHER,1909050066938,1000 BLOCK N MIAMI AVE,Miami Police,9-1-2019 6:21 PM
THEFT - FROM MOTOR VEHICLE,1909010066086,NW 28TH ST / NW 1ST AVE,Miami Police,9-1-2019 6:19 PM
THEFT/LARCENY,PD190901314053,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-1-2019 6:16 PM
AGGRAVATED BATTERY,1909010066083,1900 BLOCK NW 29TH ST,Miami Police,9-1-2019 6:01 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909010066077,100 BLOCK E FLAGLER ST,Miami Police,9-1-2019 5:22 PM
"BATTERY / AGG / DOMESTIC: VICTIM PREGNANT (MINOR, NO WEAPON OR NO INJURY - NO LOSS OF FETUS)",1909010066075,5400 BLOCK SW 5TH TER,Miami Police,9-1-2019 5:05 PM
"BATTERY / AGG / DOMESTIC: VICTIM PREGNANT (MINOR, NO WEAPON OR NO INJURY - NO LOSS OF FETUS)",1909010066075,5400 BLOCK SW 5TH TER,Miami Police,9-1-2019 5:05 PM
PETIT THEFT - RETAIL / LESS THAN $100,1909010066073,2800 BLOCK NW 12TH AV,Miami Police,9-1-2019 5:04 PM
RETAIL THEFT,1909010066070,700 BLOCK NW 12TH AV,Miami Police,9-1-2019 4:54 PM
DRUGS/ALCOHOL VIOLATIONS,PD190901313978,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-1-2019 4:45 PM
VANDALISM,PD190901314010,7500 BLOCK NW 14TH CT,Miami-Dade Police,9-1-2019 4:42 PM
PETIT THEFT - RETAIL / LESS THAN $100,1909010066074,5700 BLOCK NW 7TH ST,Miami Police,9-1-2019 4:33 PM
ASSAULT,PD190901313862,4600 BLOCK NW 27TH AVE,Miami-Dade Police,9-1-2019 3:19 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909010066058,1200 BLOCK NW 6TH ST,Miami Police,9-1-2019 3:00 PM
CRIMINAL MISCHIEF / VANDALISM,1909010066062,1600 BLOCK BISCAYNE BLVD,Miami Police,9-1-2019 2:57 PM
CRIMINAL MISCHIEF / VANDALISM,1909010066056,1700 BLOCK NW NORTH RIVER DR,Miami Police,9-1-2019 2:24 PM
THEFT/LARCENY,PD190901313805,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-1-2019 2:18 PM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1909010066043,100 BLOCK NE 29TH ST,Miami Police,9-1-2019 2:05 PM
THEFT - ALL OTHER,1909010066054,3600 BLOCK BISCAYNE BLVD,Miami Police,9-1-2019 1:53 PM
THEFT OF BICYCLE,1909010066045,200 BLOCK SW 11TH ST,Miami Police,9-1-2019 1:35 PM
THEFT - FROM MOTOR VEHICLE,1909010066046,6500 BLOCK N MIAMI AV,Miami Police,9-1-2019 1:34 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,1909010066035,1500 BLOCK NW 58TH TER,Miami Police,9-1-2019 1:18 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909010066040,500 BLOCK NE 78TH ST,Miami Police,9-1-2019 1:11 PM
